"h","g","t","value"
"H_TRAUMA","O-","1","3"
"H_TRAUMA","O-","2","3"
"H_TRAUMA","O-","3","3"
"H_TRAUMA","O-","4","3"
"H_TRAUMA","O-","5","3"
"H_TRAUMA","O-","6","2"
"H_TRAUMA","O-","7","2"
"H_TRAUMA","O-","8","3"
"H_TRAUMA","O-","9","4"
"H_TRAUMA","O-","10","4"
"H_TRAUMA","O-","11","3"
"H_TRAUMA","O-","12","3"
"H_TRAUMA","O-","13","2"
"H_TRAUMA","O-","14","2"
"H_TRAUMA","O-","15","3"
"H_TRAUMA","O-","16","3"
"H_TRAUMA","O-","17","3"
"H_TRAUMA","O-","18","3"
"H_TRAUMA","O-","19","3"
"H_TRAUMA","O-","20","2"
"H_TRAUMA","O-","21","2"
"H_TRAUMA","O-","22","3"
"H_TRAUMA","O-","23","4"
"H_TRAUMA","O-","24","4"
"H_TRAUMA","O-","25","3"
"H_TRAUMA","O-","26","3"
"H_TRAUMA","O-","27","2"
"H_TRAUMA","O-","28","2"
"H_TRAUMA","O-","29","3"
"H_TRAUMA","O-","30","3"
"H_TRAUMA","O-","31","3"
"H_TRAUMA","O-","32","3"
"H_TRAUMA","O-","33","3"
"H_TRAUMA","O-","34","2"
"H_TRAUMA","O-","35","2"
"H_TRAUMA","O-","36","3"
"H_TRAUMA","O-","37","4"
"H_TRAUMA","O-","38","4"
"H_TRAUMA","O-","39","3"
"H_TRAUMA","O-","40","3"
"H_TRAUMA","O-","41","2"
"H_TRAUMA","O-","42","2"
"H_TRAUMA","O-","43","3"
"H_TRAUMA","O-","44","3"
"H_TRAUMA","O-","45","3"
"H_TRAUMA","O-","46","3"
"H_TRAUMA","O-","47","3"
"H_TRAUMA","O-","48","2"
"H_TRAUMA","O-","49","2"
"H_TRAUMA","O-","50","3"
"H_TRAUMA","O-","51","4"
"H_TRAUMA","O-","52","4"
"H_TRAUMA","O-","53","3"
"H_TRAUMA","O-","54","3"
"H_TRAUMA","O-","55","2"
"H_TRAUMA","O-","56","2"
"H_TRAUMA","O-","57","3"
"H_TRAUMA","O-","58","3"
"H_TRAUMA","O-","59","3"
"H_TRAUMA","O-","60","3"
"H_TRAUMA","O-","61","3"
"H_TRAUMA","O-","62","2"
"H_TRAUMA","O-","63","2"
"H_TRAUMA","O-","64","3"
"H_TRAUMA","O-","65","4"
"H_TRAUMA","O-","66","4"
"H_TRAUMA","O-","67","3"
"H_TRAUMA","O-","68","3"
"H_TRAUMA","O-","69","2"
"H_TRAUMA","O-","70","2"
"H_TRAUMA","O-","71","3"
"H_TRAUMA","O-","72","3"
"H_TRAUMA","O-","73","3"
"H_TRAUMA","O-","74","3"
"H_TRAUMA","O-","75","3"
"H_TRAUMA","O-","76","2"
"H_TRAUMA","O-","77","2"
"H_TRAUMA","O-","78","3"
"H_TRAUMA","O-","79","4"
"H_TRAUMA","O-","80","4"
"H_TRAUMA","O-","81","3"
"H_TRAUMA","O-","82","3"
"H_TRAUMA","O-","83","2"
"H_TRAUMA","O-","84","2"
"H_TRAUMA","O-","85","3"
"H_TRAUMA","O-","86","3"
"H_TRAUMA","O-","87","3"
"H_TRAUMA","O-","88","3"
"H_TRAUMA","O-","89","3"
"H_TRAUMA","O-","90","2"
"H_TRAUMA","O-","91","2"
"H_TRAUMA","O-","92","3"
"H_TRAUMA","O-","93","4"
"H_TRAUMA","O-","94","4"
"H_TRAUMA","O-","95","3"
"H_TRAUMA","O-","96","3"
"H_TRAUMA","O-","97","2"
"H_TRAUMA","O-","98","2"
"H_TRAUMA","O-","99","3"
