"g","t","value"
"O-","1","5"
"O-","2","5"
"O-","3","5"
"O-","4","5"
"O-","5","5"
"O-","6","4"
"O-","7","4"
"O-","8","5"
"O-","9","5"
"O-","10","5"
"O-","11","4"
"O-","12","4"
"O-","13","4"
"O-","14","4"
"O-","15","5"
"O-","16","5"
"O-","17","5"
"O-","18","5"
"O-","19","5"
"O-","20","4"
"O-","21","4"
"O-","22","5"
"O-","23","5"
"O-","24","5"
"O-","25","4"
"O-","26","4"
"O-","27","4"
"O-","28","4"
"O-","29","5"
"O-","30","5"
"O-","31","5"
"O-","32","5"
"O-","33","5"
"O-","34","4"
"O-","35","4"
"O-","36","5"
"O-","37","5"
"O-","38","5"
"O-","39","4"
"O-","40","4"
"O-","41","4"
"O-","42","4"
"O-","43","5"
"O-","44","5"
"O-","45","5"
"O-","46","5"
"O-","47","5"
"O-","48","4"
"O-","49","4"
"O-","50","5"
"O-","51","5"
"O-","52","5"
"O-","53","4"
"O-","54","4"
"O-","55","4"
"O-","56","4"
"O-","57","5"
"O-","58","5"
"O-","59","5"
"O-","60","5"
"O-","61","5"
"O-","62","4"
"O-","63","4"
"O-","64","5"
"O-","65","5"
"O-","66","5"
"O-","67","4"
"O-","68","4"
"O-","69","4"
"O-","70","4"
"O-","71","5"
"O-","72","5"
"O-","73","5"
"O-","74","5"
"O-","75","5"
"O-","76","4"
"O-","77","4"
"O-","78","5"
"O-","79","5"
"O-","80","5"
"O-","81","4"
"O-","82","4"
"O-","83","4"
"O-","84","4"
"O-","85","5"
"O-","86","5"
"O-","87","5"
"O-","88","5"
"O-","89","5"
"O-","90","4"
"O-","91","4"
"O-","92","5"
"O-","93","5"
"O-","94","5"
"O-","95","4"
"O-","96","4"
"O-","97","4"
"O-","98","4"
"O-","99","5"
"O-","100","5"
"O-","101","5"
"O-","102","5"
"O-","103","5"
"O-","104","4"
"O-","105","4"
"O-","106","5"
"O-","107","5"
"O-","108","5"
"O-","109","4"
"O-","110","4"
"O-","111","4"
"O-","112","4"
"O-","113","5"
"O-","114","5"
"O-","115","5"
