n,g,value
0,O-,13
0,O+,73
0,A-,12
0,A+,65
0,B-,4
0,B+,17
0,AB-,2
0,AB+,6
H_TRAUMA,O-,11
H_TRAUMA,O+,58
H_TRAUMA,A-,9
H_TRAUMA,A+,52
H_TRAUMA,B-,3
H_TRAUMA,B+,14
H_TRAUMA,AB-,2
H_TRAUMA,AB+,5
H_GENERAL,O-,5
H_GENERAL,O+,27
H_GENERAL,A-,4
H_GENERAL,A+,24
H_GENERAL,B-,1
H_GENERAL,B+,6
H_GENERAL,AB-,1
H_GENERAL,AB+,2
H_COMUNITARIO,O-,2
H_COMUNITARIO,O+,12
H_COMUNITARIO,A-,2
H_COMUNITARIO,A+,11
H_COMUNITARIO,B-,1
H_COMUNITARIO,B+,3
H_COMUNITARIO,AB-,0
H_COMUNITARIO,AB+,1
