donor,receiver,value
O-,O-,0
O-,O+,5
O-,A-,5
O-,A+,5
O-,B-,5
O-,B+,5
O-,AB-,5
O-,AB+,5
O+,O-,5
O+,O+,0
O+,A-,5
O+,A+,5
O+,B-,5
O+,B+,5
O+,AB-,5
O+,AB+,5
A-,O-,5
A-,O+,5
A-,A-,0
A-,A+,5
A-,B-,5
A-,B+,5
A-,AB-,5
A-,AB+,5
A+,O-,5
A+,O+,5
A+,A-,5
A+,A+,0
A+,B-,5
A+,B+,5
A+,AB-,5
A+,AB+,5
B-,O-,5
B-,O+,5
B-,A-,5
B-,A+,5
B-,B-,0
B-,B+,5
B-,AB-,5
B-,AB+,5
B+,O-,5
B+,O+,5
B+,A-,5
B+,A+,5
B+,B-,5
B+,B+,0
B+,AB-,5
B+,AB+,5
AB-,O-,5
AB-,O+,5
AB-,A-,5
AB-,A+,5
AB-,B-,5
AB-,B+,5
AB-,AB-,0
AB-,AB+,5
AB+,O-,5
AB+,O+,5
AB+,A-,5
AB+,A+,5
AB+,B-,5
AB+,B+,5
AB+,AB-,5
AB+,AB+,0
