hospital_id,tipo_sangre,t,demanda_bolsas
H01,O+,1,1
H01,O-,1,0
H01,A+,1,1
H01,A-,1,0
H01,B+,1,0
H01,B-,1,0
H01,AB+,1,1
H01,AB-,1,0
H02,O+,1,4
H02,O-,1,0
H02,A+,1,2
H02,A-,1,0
H02,B+,1,0
H02,B-,1,0
H02,AB+,1,0
H02,AB-,1,0
H03,O+,1,7
H03,O-,1,0
H03,A+,1,4
H03,A-,1,0
H03,B+,1,0
H03,B-,1,0
H03,AB+,1,0
H03,AB-,1,0
H04,O+,1,5
H04,O-,1,0
H04,A+,1,1
H04,A-,1,0
H04,B+,1,0
H04,B-,1,0
H04,AB+,1,1
H04,AB-,1,0
H05,O+,1,5
H05,O-,1,1
H05,A+,1,1
H05,A-,1,0
H05,B+,1,0
H05,B-,1,0
H05,AB+,1,0
H05,AB-,1,0
H06,O+,1,2
H06,O-,1,0
H06,A+,1,0
H06,A-,1,0
H06,B+,1,1
H06,B-,1,0
H06,AB+,1,0
H06,AB-,1,0
H07,O+,1,2
H07,O-,1,0
H07,A+,1,1
H07,A-,1,0
H07,B+,1,0
H07,B-,1,0
H07,AB+,1,0
H07,AB-,1,0
H08,O+,1,0
H08,O-,1,2
H08,A+,1,1
H08,A-,1,0
H08,B+,1,0
H08,B-,1,0
H08,AB+,1,0
H08,AB-,1,0
H01,O+,2,4
H01,O-,2,0
H01,A+,2,0
H01,A-,2,1
H01,B+,2,0
H01,B-,2,0
H01,AB+,2,1
H01,AB-,2,0
H02,O+,2,4
H02,O-,2,0
H02,A+,2,4
H02,A-,2,1
H02,B+,2,0
H02,B-,2,0
H02,AB+,2,1
H02,AB-,2,0
H03,O+,2,3
H03,O-,2,0
H03,A+,2,0
H03,A-,2,0
H03,B+,2,0
H03,B-,2,0
H03,AB+,2,1
H03,AB-,2,0
H04,O+,2,0
H04,O-,2,0
H04,A+,2,5
H04,A-,2,0
H04,B+,2,0
H04,B-,2,0
H04,AB+,2,0
H04,AB-,2,0
H05,O+,2,0
H05,O-,2,0
H05,A+,2,3
H05,A-,2,0
H05,B+,2,0
H05,B-,2,0
H05,AB+,2,1
H05,AB-,2,0
H06,O+,2,1
H06,O-,2,0
H06,A+,2,1
H06,A-,2,0
H06,B+,2,1
H06,B-,2,0
H06,AB+,2,0
H06,AB-,2,0
H07,O+,2,1
H07,O-,2,0
H07,A+,2,2
H07,A-,2,1
H07,B+,2,0
H07,B-,2,0
H07,AB+,2,0
H07,AB-,2,0
H08,O+,2,1
H08,O-,2,0
H08,A+,2,2
H08,A-,2,0
H08,B+,2,0
H08,B-,2,0
H08,AB+,2,0
H08,AB-,2,0
H01,O+,3,6
H01,O-,3,0
H01,A+,3,2
H01,A-,3,0
H01,B+,3,1
H01,B-,3,0
H01,AB+,3,1
H01,AB-,3,0
H02,O+,3,0
H02,O-,3,0
H02,A+,3,2
H02,A-,3,0
H02,B+,3,2
H02,B-,3,0
H02,AB+,3,0
H02,AB-,3,0
H03,O+,3,0
H03,O-,3,0
H03,A+,3,0
H03,A-,3,0
H03,B+,3,1
H03,B-,3,0
H03,AB+,3,0
H03,AB-,3,0
H04,O+,3,1
H04,O-,3,0
H04,A+,3,4
H04,A-,3,0
H04,B+,3,0
H04,B-,3,0
H04,AB+,3,0
H04,AB-,3,0
H05,O+,3,1
H05,O-,3,1
H05,A+,3,3
H05,A-,3,0
H05,B+,3,1
H05,B-,3,0
H05,AB+,3,0
H05,AB-,3,0
H06,O+,3,1
H06,O-,3,0
H06,A+,3,0
H06,A-,3,1
H06,B+,3,1
H06,B-,3,0
H06,AB+,3,0
H06,AB-,3,0
H07,O+,3,2
H07,O-,3,0
H07,A+,3,2
H07,A-,3,0
H07,B+,3,0
H07,B-,3,0
H07,AB+,3,0
H07,AB-,3,0
H08,O+,3,0
H08,O-,3,0
H08,A+,3,2
H08,A-,3,0
H08,B+,3,0
H08,B-,3,0
H08,AB+,3,0
H08,AB-,3,0
H01,O+,4,3
H01,O-,4,0
H01,A+,4,2
H01,A-,4,0
H01,B+,4,1
H01,B-,4,0
H01,AB+,4,0
H01,AB-,4,0
H02,O+,4,5
H02,O-,4,0
H02,A+,4,1
H02,A-,4,0
H02,B+,4,0
H02,B-,4,0
H02,AB+,4,0
H02,AB-,4,0
H03,O+,4,3
H03,O-,4,0
H03,A+,4,1
H03,A-,4,0
H03,B+,4,1
H03,B-,4,0
H03,AB+,4,0
H03,AB-,4,0
H04,O+,4,8
H04,O-,4,0
H04,A+,4,1
H04,A-,4,0
H04,B+,4,0
H04,B-,4,0
H04,AB+,4,0
H04,AB-,4,0
H05,O+,4,1
H05,O-,4,0
H05,A+,4,2
H05,A-,4,1
H05,B+,4,0
H05,B-,4,0
H05,AB+,4,0
H05,AB-,4,0
H06,O+,4,1
H06,O-,4,0
H06,A+,4,0
H06,A-,4,0
H06,B+,4,0
H06,B-,4,0
H06,AB+,4,0
H06,AB-,4,0
H07,O+,4,2
H07,O-,4,0
H07,A+,4,1
H07,A-,4,0
H07,B+,4,0
H07,B-,4,0
H07,AB+,4,0
H07,AB-,4,0
H08,O+,4,0
H08,O-,4,0
H08,A+,4,1
H08,A-,4,0
H08,B+,4,0
H08,B-,4,0
H08,AB+,4,1
H08,AB-,4,0
H01,O+,5,4
H01,O-,5,0
H01,A+,5,4
H01,A-,5,0
H01,B+,5,1
H01,B-,5,0
H01,AB+,5,1
H01,AB-,5,0
H02,O+,5,2
H02,O-,5,0
H02,A+,5,1
H02,A-,5,0
H02,B+,5,0
H02,B-,5,0
H02,AB+,5,0
H02,AB-,5,0
H03,O+,5,2
H03,O-,5,0
H03,A+,5,2
H03,A-,5,0
H03,B+,5,0
H03,B-,5,0
H03,AB+,5,0
H03,AB-,5,0
H04,O+,5,1
H04,O-,5,0
H04,A+,5,1
H04,A-,5,0
H04,B+,5,2
H04,B-,5,0
H04,AB+,5,0
H04,AB-,5,0
H05,O+,5,1
H05,O-,5,1
H05,A+,5,0
H05,A-,5,0
H05,B+,5,0
H05,B-,5,0
H05,AB+,5,0
H05,AB-,5,0
H06,O+,5,1
H06,O-,5,0
H06,A+,5,0
H06,A-,5,0
H06,B+,5,0
H06,B-,5,0
H06,AB+,5,0
H06,AB-,5,0
H07,O+,5,2
H07,O-,5,1
H07,A+,5,0
H07,A-,5,0
H07,B+,5,0
H07,B-,5,0
H07,AB+,5,0
H07,AB-,5,0
H08,O+,5,2
H08,O-,5,0
H08,A+,5,4
H08,A-,5,0
H08,B+,5,0
H08,B-,5,0
H08,AB+,5,0
H08,AB-,5,0
H01,O+,6,2
H01,O-,6,0
H01,A+,6,0
H01,A-,6,0
H01,B+,6,0
H01,B-,6,0
H01,AB+,6,0
H01,AB-,6,0
H02,O+,6,1
H02,O-,6,0
H02,A+,6,1
H02,A-,6,0
H02,B+,6,2
H02,B-,6,0
H02,AB+,6,0
H02,AB-,6,0
H03,O+,6,6
H03,O-,6,0
H03,A+,6,2
H03,A-,6,0
H03,B+,6,0
H03,B-,6,0
H03,AB+,6,1
H03,AB-,6,0
H04,O+,6,6
H04,O-,6,0
H04,A+,6,2
H04,A-,6,0
H04,B+,6,0
H04,B-,6,0
H04,AB+,6,0
H04,AB-,6,0
H05,O+,6,2
H05,O-,6,0
H05,A+,6,1
H05,A-,6,0
H05,B+,6,0
H05,B-,6,0
H05,AB+,6,1
H05,AB-,6,0
H06,O+,6,3
H06,O-,6,0
H06,A+,6,1
H06,A-,6,0
H06,B+,6,0
H06,B-,6,0
H06,AB+,6,0
H06,AB-,6,0
H07,O+,6,1
H07,O-,6,0
H07,A+,6,1
H07,A-,6,0
H07,B+,6,0
H07,B-,6,0
H07,AB+,6,1
H07,AB-,6,0
H08,O+,6,1
H08,O-,6,0
H08,A+,6,3
H08,A-,6,1
H08,B+,6,1
H08,B-,6,0
H08,AB+,6,0
H08,AB-,6,0
H01,O+,7,2
H01,O-,7,1
H01,A+,7,4
H01,A-,7,1
H01,B+,7,1
H01,B-,7,0
H01,AB+,7,0
H01,AB-,7,0
H02,O+,7,3
H02,O-,7,0
H02,A+,7,4
H02,A-,7,0
H02,B+,7,2
H02,B-,7,0
H02,AB+,7,0
H02,AB-,7,0
H03,O+,7,1
H03,O-,7,0
H03,A+,7,0
H03,A-,7,0
H03,B+,7,1
H03,B-,7,1
H03,AB+,7,0
H03,AB-,7,0
H04,O+,7,1
H04,O-,7,0
H04,A+,7,0
H04,A-,7,0
H04,B+,7,0
H04,B-,7,0
H04,AB+,7,0
H04,AB-,7,0
H05,O+,7,4
H05,O-,7,0
H05,A+,7,1
H05,A-,7,0
H05,B+,7,1
H05,B-,7,0
H05,AB+,7,0
H05,AB-,7,0
H06,O+,7,1
H06,O-,7,0
H06,A+,7,1
H06,A-,7,0
H06,B+,7,0
H06,B-,7,0
H06,AB+,7,0
H06,AB-,7,0
H07,O+,7,1
H07,O-,7,0
H07,A+,7,2
H07,A-,7,0
H07,B+,7,0
H07,B-,7,0
H07,AB+,7,0
H07,AB-,7,0
H08,O+,7,3
H08,O-,7,0
H08,A+,7,2
H08,A-,7,0
H08,B+,7,0
H08,B-,7,0
H08,AB+,7,0
H08,AB-,7,0
H01,O+,8,4
H01,O-,8,0
H01,A+,8,3
H01,A-,8,0
H01,B+,8,0
H01,B-,8,0
H01,AB+,8,0
H01,AB-,8,0
H02,O+,8,5
H02,O-,8,1
H02,A+,8,1
H02,A-,8,0
H02,B+,8,0
H02,B-,8,0
H02,AB+,8,0
H02,AB-,8,0
H03,O+,8,6
H03,O-,8,0
H03,A+,8,0
H03,A-,8,0
H03,B+,8,1
H03,B-,8,0
H03,AB+,8,0
H03,AB-,8,0
H04,O+,8,2
H04,O-,8,0
H04,A+,8,0
H04,A-,8,0
H04,B+,8,0
H04,B-,8,0
H04,AB+,8,0
H04,AB-,8,0
H05,O+,8,2
H05,O-,8,1
H05,A+,8,0
H05,A-,8,0
H05,B+,8,0
H05,B-,8,0
H05,AB+,8,1
H05,AB-,8,0
H06,O+,8,2
H06,O-,8,0
H06,A+,8,2
H06,A-,8,0
H06,B+,8,0
H06,B-,8,0
H06,AB+,8,0
H06,AB-,8,0
