t,Q_t
1,60
2,60
3,52
4,45
5,60
6,60
7,60
8,60
9,60
10,52
11,45
12,60
13,60
14,60
15,60
16,60
17,52
18,45
19,60
20,60
21,60
22,60
23,60
24,52
25,45
26,60
27,60
28,60
29,60
30,60
31,52
32,45
33,60
34,60
35,60
36,60
37,60
38,52
39,45
40,60
41,60
42,60
43,60
44,60
45,52
46,45
47,60
48,60
49,60
50,60
51,60
52,52
53,45
54,60
55,60
56,60
57,60
58,60
59,52
60,45
61,60
62,60
63,60
64,60
65,60
66,52
67,45
68,60
69,60
70,60
71,60
72,60
73,52
74,45
75,60
76,60
77,60
78,60
79,60
80,52
81,45
82,60
83,60
84,60
85,60
86,60
87,52
88,45
89,60
90,60
91,60
92,60
93,60
94,52
95,45
96,60
97,60
98,60
99,60
100,60
101,52
102,45
103,60
104,60
105,60
106,60
107,60
108,52
109,45
110,60
111,60
112,60
113,60
114,60
115,52
116,45
117,60
118,60
119,60
120,60
121,60
122,52
123,45
124,60
125,60
126,60
127,60
128,60
129,52
130,45
131,60
132,60
133,60
134,60
135,60
136,52
137,45
138,60
139,60
140,60
141,60
142,60
143,52
144,45
145,60
146,60
147,60
148,60
149,60
150,52
151,45
152,60
153,60
154,60
155,60
156,60
157,52
158,45
159,60
160,60
161,60
162,60
163,60
164,52
165,45
166,60
167,60
168,60
169,60
170,60
171,52
172,45
173,60
174,60
175,60
176,60
177,60
178,52
179,45
180,60
181,60
182,60
183,60
184,60
185,52
186,45
187,60
188,60
189,60
190,60
191,60
192,52
193,45
194,60
195,60
196,60
197,60
198,60
199,52
200,45
201,60
202,60
203,60
204,60
205,60
206,52
207,45
208,60
209,60
210,60
211,60
212,60
213,52
214,45
215,60
216,60
217,60
218,60
219,60
220,52
221,45
222,60
223,60
224,60
225,60
226,60
227,52
228,45
229,60
230,60
231,60
232,60
233,60
234,52
235,45
236,60
237,60
238,60
239,60
240,60
241,52
242,45
243,60
244,60
245,60
246,60
247,60
248,52
249,45
250,60
251,60
252,60
253,60
254,60
255,52
256,45
257,60
258,60
259,60
260,60
261,60
262,52
263,45
264,60
265,60
266,60
267,60
268,60
269,52
270,45
271,60
272,60
273,60
274,60
275,60
276,52
277,45
278,60
279,60
280,60
281,60
282,60
283,52
284,45
285,60
286,60
287,60
288,60
289,60
290,52
291,45
292,60
293,60
294,60
295,60
296,60
297,52
298,45
299,60
300,60
301,60
302,60
303,60
304,52
305,45
306,60
307,60
308,60
309,60
310,60
311,52
312,45
313,60
314,60
315,60
316,60
317,60
318,52
319,45
320,60
321,60
322,60
323,60
324,60
325,52
326,45
327,60
328,60
329,60
330,60
331,60
332,52
333,45
334,60
335,60
336,60
337,60
338,60
339,52
340,45
341,60
342,60
343,60
344,60
345,60
346,52
347,45
348,60
349,60
350,60
351,60
352,60
353,52
354,45
355,60
356,60
357,60
358,60
359,60
360,52
361,45
362,60
363,60
364,60
365,60
