hospital_id,tipo_sangre,t,demanda_bolsas
H01,O+,1,14
H01,O+,2,16
H01,O+,3,15
H01,O+,4,18
H01,O+,5,15
H01,O+,6,15
H01,O+,7,13
H01,O+,8,9
H01,O+,9,14
H01,O+,10,7
H01,O+,11,14
H01,O+,12,10
H01,O+,13,15
H01,O+,14,16
H01,O+,15,9
H01,O+,16,8
H01,O+,17,12
H01,O+,18,11
H01,O+,19,13
H01,O+,20,13
H01,O+,21,28
H01,O+,22,14
H01,O+,23,24
H01,O+,24,16
H01,O+,25,12
H01,O+,26,16
H01,O+,27,8
H01,O+,28,15
H01,O+,29,22
H01,O+,30,12
H01,O+,31,13
H01,O+,32,11
H01,O+,33,10
H01,O+,34,8
H01,O+,35,18
H01,O+,36,6
H01,O+,37,21
H01,O+,38,17
H01,O+,39,16
H01,O+,40,17
H01,O+,41,21
H01,O+,42,8
H01,O+,43,15
H01,O+,44,11
H01,O+,45,15
H01,O+,46,17
H01,O+,47,17
H01,O+,48,17
H01,O+,49,11
H01,O+,50,19
H01,O+,51,19
H01,O+,52,23
H01,O+,53,13
H01,O+,54,15
H01,O+,55,17
H01,O+,56,12
H01,O+,57,12
H01,O+,58,14
H01,O+,59,23
H01,O+,60,20
H01,O+,61,19
H01,O+,62,21
H01,O+,63,15
H01,O+,64,12
H01,O+,65,17
H01,O+,66,24
H01,O+,67,13
H01,O+,68,15
H01,O+,69,19
H01,O+,70,11
H01,O+,71,11
H01,O+,72,12
H01,O+,73,12
H01,O+,74,18
H01,O+,75,20
H01,O+,76,12
H01,O+,77,12
H01,O+,78,8
H01,O+,79,15
H01,O+,80,18
H01,O+,81,15
H01,O+,82,15
H01,O+,83,12
H01,O+,84,6
H01,O+,85,19
H01,O+,86,17
H01,O+,87,12
H01,O+,88,15
H01,O+,89,16
H01,O+,90,16
H01,O+,91,10
H01,O+,92,15
H01,O+,93,14
H01,O+,94,12
H01,O+,95,15
H01,O+,96,19
H01,O+,97,11
H01,O+,98,10
H01,O+,99,14
H01,O+,100,14
H01,O+,101,21
H01,O+,102,19
H01,O+,103,10
H01,O+,104,19
H01,O+,105,15
H01,O+,106,24
H01,O+,107,19
H01,O+,108,9
H01,O+,109,19
H01,O+,110,23
H01,O+,111,12
H01,O+,112,13
H01,O+,113,18
H01,O+,114,32
H01,O+,115,15
H01,O+,116,23
H01,O+,117,14
H01,O+,118,13
H01,O+,119,9
H01,O+,120,19
