tipo_sangre,t,donaciones_bolsas
O+,1,105
O-,1,5
A+,1,54
A-,1,5
B+,1,12
B-,1,1
AB+,1,0
AB-,1,0
O+,2,99
O-,2,9
A+,2,38
A-,2,3
B+,2,16
B-,2,0
AB+,2,5
AB-,2,0
O+,3,117
O-,3,10
A+,3,43
A-,3,3
B+,3,16
B-,3,0
AB+,3,2
AB-,3,0
O+,4,88
O-,4,11
A+,4,49
A-,4,5
B+,4,19
B-,4,0
AB+,4,2
AB-,4,0
O+,5,95
O-,5,8
A+,5,64
A-,5,3
B+,5,13
B-,5,1
AB+,5,4
AB-,5,0
O+,6,77
O-,6,4
A+,6,20
A-,6,1
B+,6,9
B-,6,1
AB+,6,1
AB-,6,0
O+,7,50
O-,7,3
A+,7,30
A-,7,2
B+,7,8
B-,7,0
AB+,7,1
AB-,7,0
O+,8,119
O-,8,9
A+,8,42
A-,8,2
B+,8,16
B-,8,1
AB+,8,3
AB-,8,0
O+,9,117
O-,9,4
A+,9,61
A-,9,3
B+,9,24
B-,9,2
AB+,9,2
AB-,9,0
O+,10,86
O-,10,6
A+,10,31
A-,10,2
B+,10,20
B-,10,0
AB+,10,6
AB-,10,0
O+,11,108
O-,11,3
A+,11,48
A-,11,1
B+,11,17
B-,11,2
AB+,11,3
AB-,11,0
O+,12,86
O-,12,2
A+,12,40
A-,12,4
B+,12,13
B-,12,2
AB+,12,5
AB-,12,0
O+,13,53
O-,13,0
A+,13,39
A-,13,2
B+,13,12
B-,13,0
AB+,13,2
AB-,13,0
O+,14,57
O-,14,1
A+,14,34
A-,14,0
B+,14,5
B-,14,0
AB+,14,2
AB-,14,0
O+,15,128
O-,15,8
A+,15,48
A-,15,4
B+,15,13
B-,15,1
AB+,15,2
AB-,15,0
O+,16,115
O-,16,4
A+,16,47
A-,16,5
B+,16,20
B-,16,1
AB+,16,5
AB-,16,1
O+,17,109
O-,17,6
A+,17,49
A-,17,2
B+,17,12
B-,17,1
AB+,17,0
AB-,17,0
O+,18,89
O-,18,3
A+,18,64
A-,18,0
B+,18,12
B-,18,2
AB+,18,0
AB-,18,1
O+,19,103
O-,19,4
A+,19,52
A-,19,0
B+,19,13
B-,19,0
AB+,19,1
AB-,19,0
O+,20,68
O-,20,3
A+,20,30
A-,20,1
B+,20,3
B-,20,0
AB+,20,4
AB-,20,0
O+,21,54
O-,21,5
