nodo_id,tipo_nodo,tipo_sangre,inventario_inicial_bolsas,vida_util_inicial
0,banco_central,O+,295,42
0,banco_central,O-,20,42
0,banco_central,A+,135,42
0,banco_central,A-,10,42
0,banco_central,B+,45,42
0,banco_central,B-,5,42
0,banco_central,AB+,12,42
0,banco_central,AB-,3,42
H01,hospital,O+,20,42
H01,hospital,O-,2,42
H01,hospital,A+,9,42
H01,hospital,A-,1,42
H01,hospital,B+,3,42
H01,hospital,B-,1,42
H01,hospital,AB+,1,42
H01,hospital,AB-,1,42
H02,hospital,O+,18,42
H02,hospital,O-,2,42
H02,hospital,A+,9,42
H02,hospital,A-,1,42
H02,hospital,B+,3,42
H02,hospital,B-,1,42
H02,hospital,AB+,1,42
H02,hospital,AB-,1,42
H03,hospital,O+,16,42
H03,hospital,O-,1,42
H03,hospital,A+,7,42
H03,hospital,A-,1,42
H03,hospital,B+,3,42
H03,hospital,B-,1,42
H03,hospital,AB+,1,42
H03,hospital,AB-,1,42
H04,hospital,O+,13,42
H04,hospital,O-,1,42
H04,hospital,A+,6,42
H04,hospital,A-,1,42
H04,hospital,B+,2,42
H04,hospital,B-,1,42
H04,hospital,AB+,1,42
H04,hospital,AB-,1,42
H05,hospital,O+,12,42
H05,hospital,O-,1,42
H05,hospital,A+,6,42
H05,hospital,A-,1,42
H05,hospital,B+,2,42
H05,hospital,B-,1,42
H05,hospital,AB+,1,42
H05,hospital,AB-,1,42
H06,hospital,O+,10,42
H06,hospital,O-,1,42
H06,hospital,A+,5,42
H06,hospital,A-,1,42
H06,hospital,B+,2,42
H06,hospital,B-,1,42
H06,hospital,AB+,1,42
H06,hospital,AB-,1,42
H07,hospital,O+,11,42
H07,hospital,O-,1,42
H07,hospital,A+,5,42
H07,hospital,A-,1,42
H07,hospital,B+,2,42
H07,hospital,B-,1,42
H07,hospital,AB+,1,42
H07,hospital,AB-,1,42
H08,hospital,O+,9,42
H08,hospital,O-,1,42
H08,hospital,A+,4,42
H08,hospital,A-,1,42
H08,hospital,B+,2,42
H08,hospital,B-,1,42
H08,hospital,AB+,1,42
H08,hospital,AB-,1,42
